"Project.ID","Deployment.Location.ID","Species","Date_Time.Captured","Age","Sex","Number.of.Animals","Minimum.Group.Size","Behaviour","Blank","Event.ID","Event.Duration","Event.Groupsize","Event.Observations"
"Algar","Algar08","Odocoileus virginianus",2018-12-18 20:54:56,"Adult","Male",1,1,"Travelling",FALSE,"E0",15,1,7
"Algar","Algar08","Alces alces",2019-04-20 14:37:51,"Adult","",1,2,"Travelling",FALSE,"E1",57,2,10
"Algar","Algar08","Alces alces",2019-04-21 19:58:59,"Unidentified","",2,2,"",FALSE,"E2",58,2,11
"Algar","Algar08","Odocoileus virginianus",2019-05-07 09:43:59,"Adult","",1,1,"Travelling",FALSE,"E3",5,1,4
"Algar","Algar08","Rangifer tarandus",2019-05-23 08:31:29,"Unidentified","",1,2,"Travelling",FALSE,"E4",34,2,9
"Algar","Algar08","Alces alces",2019-08-04 05:31:51,"Unidentified","",1,2,"Travelling",FALSE,"E5",4,2,4
"Algar","Algar08","Lepus americanus",2019-08-13 02:02:40,"Unidentified","",1,1,"",FALSE,"E6",0,1,1
"Algar","Algar08","Alces alces",2019-08-13 09:10:46,"Unidentified","",1,1,"Travelling",FALSE,"E7",4,1,4
"Algar","Algar08","Alces alces",2019-08-17 06:50:50,"Unidentified","",1,2,"Travelling",FALSE,"E8",8,2,7
"Algar","Algar08","Canis lupus",2019-11-17 18:00:39,"Adult","",1,1,"Travelling",FALSE,"E9",0,1,1
"Algar","Algar27","Odocoileus virginianus",2018-11-16 05:01:45,"Adult","Male",1,1,"Travelling",FALSE,"E10",2,1,3
"Algar","Algar27","Cervus canadensis",2018-11-18 17:43:55,"Adult","Male",1,1,"Travelling",FALSE,"E11",6,1,6
"Algar","Algar27","Canis latrans",2018-11-25 14:11:36,"Unidentified","",1,1,"",FALSE,"E12",2,1,2
"Algar","Algar27","Canis lupus",2018-12-11 10:14:10,"Adult","",1,1,"Travelling",FALSE,"E13",0,1,1
"Algar","Algar27","Canis lupus",2018-12-13 22:58:20,"Adult","",1,1,"Travelling",FALSE,"E14",7,1,5
"Algar","Algar27","Canis latrans",2019-01-06 05:47:48,"Adult","",1,1,"Travelling",FALSE,"E15",0,1,1
"Algar","Algar27","Canis latrans",2019-01-07 00:14:47,"Adult","",1,1,"Travelling",FALSE,"E16",1,1,2
"Algar","Algar27","Canis lupus",2019-01-11 03:21:55,"Adult","",1,1,"Travelling",FALSE,"E17",1,1,2
"Algar","Algar27","Alces alces",2019-01-28 17:56:09,"Adult + Juvenile","Female",1,2,"Travelling",FALSE,"E18",4,2,4
"Algar","Algar27","Canis lupus",2019-02-12 16:54:26,"Adult","",1,1,"Travelling",FALSE,"E19",0,1,1
"Algar","Algar27","Lynx canadensis",2019-02-20 18:05:21,"Adult","",1,1,"Travelling",FALSE,"E20",0,1,1
"Algar","Algar27","Lynx canadensis",2019-03-20 19:54:50,"Adult","",1,1,"Travelling",FALSE,"E21",2,1,3
"Algar","Algar27","Lynx canadensis",2019-03-23 07:20:34,"Adult","",1,1,"Travelling",FALSE,"E22",3,1,3
"Algar","Algar27","Lynx canadensis",2019-03-30 00:43:51,"Adult","",1,1,"Travelling",FALSE,"E23",2,1,3
"Algar","Algar29","Odocoileus virginianus",2018-11-22 00:56:47,"Adult","Female",1,3,"Travelling",FALSE,"E24",87,3,19
"Algar","Algar29","Odocoileus virginianus",2018-11-22 01:41:50,"Adult","Female",1,1,"Travelling",FALSE,"E25",3,1,3
"Algar","Algar29","Odocoileus virginianus",2018-11-27 22:37:29,"Adult","Male",1,1,"Travelling",FALSE,"E26",5,1,5
"Algar","Algar29","Lynx canadensis",2018-12-03 18:03:00,"Adult","",1,1,"",FALSE,"E27",0,1,1
