"Deployment.Location.ID","Date","Effort","Alces alces","Canis latrans","Canis lupus","Cervus canadensis","Grus canadensis","Lepus americanus","Lynx canadensis","Martes americana","Odocoileus virginianus","Rangifer tarandus","Tamiasciurus hudsonicus","Ursus americanus"
"Algar08","2018-11",14,0,0,0,0,0,0,0,0,0,0,0,0
"Algar08","2018-12",31,0,0,0,0,0,0,0,0,1,0,0,0
"Algar08","2019-01",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar08","2019-02",28,0,0,0,0,0,0,0,0,0,0,0,0
"Algar08","2019-03",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar08","2019-04",30,2,0,0,0,0,0,0,0,0,0,0,0
"Algar08","2019-05",31,0,0,0,0,0,0,0,0,1,1,0,0
"Algar08","2019-06",30,0,0,0,0,0,0,0,0,0,0,0,0
"Algar08","2019-07",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar08","2019-08",31,3,0,0,0,0,1,0,0,0,0,0,0
"Algar08","2019-09",30,0,0,0,0,0,0,0,0,0,0,0,0
"Algar08","2019-10",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar08","2019-11",21,0,0,1,0,0,0,0,0,0,0,0,0
"Algar27","2018-11",16,0,1,0,1,0,0,0,0,1,0,0,0
"Algar27","2018-12",31,0,0,2,0,0,0,0,0,0,0,0,0
"Algar27","2019-01",31,1,2,1,0,0,0,0,0,0,0,0,0
"Algar27","2019-02",28,0,0,1,0,0,0,1,0,0,0,0,0
"Algar27","2019-03",31,0,0,0,0,0,0,3,0,0,0,0,0
"Algar27","2019-04",3,0,0,0,0,0,0,0,0,0,0,0,0
"Algar29","2018-11",16,0,0,0,0,0,0,0,0,3,0,0,0
"Algar29","2018-12",31,0,0,1,0,0,0,1,0,2,0,0,0
"Algar29","2019-01",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar29","2019-02",28,1,0,0,0,0,0,0,0,0,0,0,0
"Algar29","2019-03",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar29","2019-04",30,2,0,0,0,3,0,0,0,3,0,0,1
"Algar29","2019-05",31,2,0,0,0,6,0,0,0,6,0,0,0
"Algar29","2019-06",30,2,0,0,0,0,0,0,0,1,0,0,2
"Algar29","2019-07",31,0,0,0,0,2,0,0,0,0,0,0,0
"Algar29","2019-08",31,0,0,0,0,2,0,0,0,2,0,0,1
"Algar29","2019-09",30,0,0,0,0,0,0,0,0,1,0,0,2
"Algar29","2019-10",31,0,0,0,0,0,0,0,0,2,0,0,1
"Algar29","2019-11",20,0,0,0,0,0,0,0,0,4,0,0,0
"Algar31","2018-11",15,0,0,0,0,0,0,0,0,0,0,0,0
"Algar31","2018-12",31,1,0,0,0,0,0,0,0,0,0,0,0
"Algar31","2019-01",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar31","2019-02",28,0,0,0,0,0,0,0,0,0,0,0,0
"Algar31","2019-03",31,1,0,0,0,0,0,0,2,0,0,0,0
"Algar31","2019-04",30,0,0,5,0,1,0,0,0,0,0,0,0
"Algar31","2019-05",31,0,0,0,0,3,0,0,1,0,0,0,0
"Algar31","2019-06",30,1,0,1,0,4,0,0,0,1,3,0,0
"Algar31","2019-07",31,0,0,0,0,2,0,0,0,0,2,0,1
"Algar31","2019-08",31,0,0,0,0,3,0,0,0,0,1,0,0
"Algar31","2019-09",30,0,0,0,0,0,0,0,0,0,8,0,0
"Algar31","2019-10",31,0,0,0,0,0,0,0,0,0,1,0,1
"Algar31","2019-11",21,0,0,0,0,0,1,0,1,0,0,0,0
"Algar32","2018-11",17,1,0,0,0,0,0,0,0,0,0,0,0
"Algar32","2018-12",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar32","2019-01",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar32","2019-02",28,0,0,0,0,0,0,0,0,0,0,0,0
"Algar32","2019-03",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar32","2019-04",30,0,0,0,0,0,0,0,0,0,0,0,0
"Algar32","2019-05",31,0,0,0,0,1,0,0,0,0,0,0,0
"Algar32","2019-06",30,0,0,0,0,2,0,0,0,1,0,0,0
"Algar32","2019-07",31,0,0,0,0,0,0,0,0,0,1,0,0
"Algar32","2019-08",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar32","2019-09",30,0,0,0,0,0,0,0,0,0,1,0,0
"Algar32","2019-10",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar32","2019-11",19,0,0,0,0,0,0,1,0,0,0,0,0
"Algar34","2018-11",14,0,0,0,0,0,0,0,0,1,0,0,0
"Algar34","2018-12",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar34","2019-01",31,0,0,0,0,0,0,2,0,2,0,0,0
"Algar34","2019-02",28,0,0,0,0,0,0,1,0,0,0,0,0
"Algar34","2019-03",31,1,0,0,0,0,0,1,0,0,0,0,0
"Algar34","2019-04",30,0,0,0,0,0,0,0,0,0,0,0,0
"Algar34","2019-05",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar34","2019-06",30,0,0,0,0,0,0,0,0,0,0,0,0
"Algar34","2019-07",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar34","2019-08",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar34","2019-09",30,0,0,0,0,0,0,0,0,0,0,0,0
"Algar34","2019-10",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar34","2019-11",21,0,0,0,0,0,0,0,0,0,0,0,0
"Algar35","2018-11",16,0,0,0,0,0,0,0,0,0,0,0,0
"Algar35","2018-12",31,0,0,0,0,0,1,0,0,0,1,0,0
"Algar35","2019-01",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar35","2019-02",28,0,0,0,0,0,0,0,0,0,0,0,0
"Algar35","2019-03",31,0,0,0,0,0,5,0,0,0,0,0,0
"Algar35","2019-04",30,1,0,0,0,0,0,0,0,0,0,0,0
"Algar35","2019-05",31,1,0,0,0,3,0,0,0,0,0,0,0
"Algar35","2019-06",30,3,0,0,0,1,0,0,0,1,0,0,0
"Algar35","2019-07",31,1,0,0,0,4,0,0,0,0,1,0,1
"Algar35","2019-08",31,1,0,0,0,1,0,0,0,0,0,3,1
"Algar35","2019-09",30,0,0,0,0,0,0,0,0,0,1,0,0
"Algar35","2019-10",31,0,0,0,0,0,0,1,0,0,1,0,0
"Algar35","2019-11",22,0,0,0,0,0,0,0,0,0,0,0,0
"Algar37","2018-11",14,0,0,0,0,0,0,0,0,0,1,0,0
"Algar37","2018-12",31,0,0,0,0,0,0,0,0,0,1,0,0
"Algar37","2019-01",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar37","2019-02",28,0,0,0,0,0,0,0,0,0,0,0,0
"Algar37","2019-03",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar37","2019-04",30,0,0,0,0,0,0,0,0,0,0,0,0
"Algar37","2019-05",31,0,0,0,0,8,0,0,0,0,1,0,0
"Algar37","2019-06",30,0,0,0,0,14,0,0,0,0,0,0,1
"Algar37","2019-07",31,0,0,0,0,13,0,0,0,0,0,0,0
"Algar37","2019-08",31,0,0,0,0,7,0,0,0,0,0,0,0
"Algar37","2019-09",30,0,0,0,0,1,0,0,0,0,0,0,0
"Algar37","2019-10",31,0,0,0,0,0,0,0,0,0,0,0,1
"Algar37","2019-11",21,0,0,0,0,0,0,0,0,0,0,0,0
"Algar38","2018-11",15,0,0,0,0,0,0,0,0,0,0,0,0
"Algar38","2018-12",31,0,0,0,0,0,0,0,1,0,0,0,0
"Algar38","2019-01",31,0,0,0,0,0,0,0,0,0,0,0,0
"Algar38","2019-02",28,0,0,0,0,0,0,0,0,0,0,0,0
