"Deployment.Location.ID","Effort","Alces alces","Canis latrans","Canis lupus","Cervus canadensis","Grus canadensis","Lepus americanus","Lynx canadensis","Martes americana","Odocoileus virginianus","Rangifer tarandus","Tamiasciurus hudsonicus","Ursus americanus"
"Algar08",370,9,0,1,0,0,1,0,0,2,2,0,0
"Algar27",140,2,3,4,1,0,0,4,0,1,0,0,0
"Algar29",371,7,0,3,0,21,0,1,0,32,0,0,7
"Algar31",371,4,0,10,0,20,1,0,4,1,18,0,4
"Algar32",371,1,0,0,0,3,0,1,0,1,2,0,0
"Algar34",370,2,0,0,0,0,0,4,0,3,0,0,0
"Algar35",373,7,0,0,0,22,6,1,0,1,4,3,2
"Algar37",370,0,0,0,0,97,0,0,0,0,3,0,2
"Algar38",371,0,0,0,0,33,0,0,1,0,13,0,0
"Algar39",369,1,0,6,0,14,0,0,0,0,6,0,3
"Algar61",368,0,0,0,0,0,0,0,2,42,0,0,1
"Algar62",370,0,0,3,0,0,1,1,0,48,0,0,11
"Algar63",371,0,0,1,0,0,1,0,1,26,3,0,0
"Algar64",370,4,0,0,0,1,0,0,0,0,8,0,0
"Algar65",225,32,0,0,0,1,0,0,1,0,0,0,0
"Algar66",369,0,0,0,0,2,0,0,0,1,2,0,0
"Algar67",371,4,0,3,0,25,0,0,0,4,0,0,0
"Algar68",371,2,0,0,0,5,0,0,0,0,0,0,1
"Algar69",371,5,0,0,0,0,0,4,0,58,0,0,21
"Algar70",371,1,0,0,0,7,0,0,1,5,4,0,1
