"Deployment.Location.ID","Effort","Alces alces","Canis latrans","Canis lupus","Cervus canadensis","Grus canadensis","Lepus americanus","Lynx canadensis","Martes americana","Odocoileus virginianus","Rangifer tarandus","Tamiasciurus hudsonicus","Ursus americanus"
"Algar08",370,5,0,1,0,0,1,0,0,2,1,0,0
"Algar27",140,1,3,4,1,0,0,4,0,1,0,0,0
"Algar29",371,7,0,1,0,13,0,1,0,24,0,0,7
"Algar31",371,3,0,6,0,13,1,0,4,1,15,0,2
"Algar32",371,1,0,0,0,3,0,1,0,1,2,0,0
"Algar34",370,1,0,0,0,0,0,4,0,3,0,0,0
"Algar35",373,7,0,0,0,9,6,1,0,1,4,3,2
"Algar37",370,0,0,0,0,43,0,0,0,0,3,0,2
"Algar38",371,0,0,0,0,23,0,0,1,0,9,0,0
"Algar39",369,1,0,5,0,6,0,0,0,0,4,0,3
"Algar61",368,0,0,0,0,0,0,0,2,34,0,0,1
"Algar62",370,0,0,3,0,0,1,1,0,36,0,0,6
"Algar63",371,0,0,1,0,0,1,0,1,22,2,0,0
"Algar64",370,2,0,0,0,1,0,0,0,0,8,0,0
"Algar65",225,24,0,0,0,1,0,0,1,0,0,0,0
"Algar66",369,0,0,0,0,2,0,0,0,1,2,0,0
"Algar67",371,2,0,1,0,14,0,0,0,3,0,0,0
"Algar68",371,2,0,0,0,3,0,0,0,0,0,0,1
"Algar69",371,5,0,0,0,0,0,4,0,49,0,0,18
"Algar70",371,1,0,0,0,3,0,0,1,4,3,0,1
