"","class","order","family","genus","species","sp","common_name"
"1","Aves","Galliformes","Phasianidae","Tympanuchus","phasianellus","Tympanuchus.phasianellus","sharp-tailed grouse"
"2","Aves","Gruiformes","Gruidae","Grus","canadensis","Grus.canadensis","sandhill crane"
"3","Aves","Passeriformes","Corvidae","Corvus","corax","Corvus.corax","common raven"
"4","Aves","Passeriformes","Corvidae","Perisoreus","canadensis","Perisoreus.canadensis","canada jay"
"5","Aves","Strigiformes","Strigidae","Strix","nebulosa","Strix.nebulosa","great grey owl"
"6","Mammalia","Artiodactyla","Cervidae","Alces","alces","Alces.alces","moose"
"7","Mammalia","Artiodactyla","Cervidae","Cervus","canadensis","Cervus.canadensis","elk"
"8","Mammalia","Artiodactyla","Cervidae","Odocoileus","virginianus","Odocoileus.virginianus","white-tailed deer"
"9","Mammalia","Artiodactyla","Cervidae","Rangifer","tarandus","Rangifer.tarandus","caribou"
"10","Mammalia","Carnivora","Canidae","Canis","latrans","Canis.latrans","coyote"
"11","Mammalia","Carnivora","Canidae","Canis","lupus","Canis.lupus","gray wolf"
"12","Mammalia","Carnivora","Canidae","Vulpes","vulpes","Vulpes.vulpes","red fox"
"13","Mammalia","Carnivora","Felidae","Lynx","canadensis","Lynx.canadensis","canada lynx"
"14","Mammalia","Carnivora","Mustelidae","Lontra","canadensis","Lontra.canadensis","river otter"
"15","Mammalia","Carnivora","Mustelidae","Martes","americana","Martes.americana","american marten"
"16","Mammalia","Carnivora","Ursidae","Ursus","americanus","Ursus.americanus","black bear"
"17","Mammalia","Lagomorpha","Leporidae","Lepus","americanus","Lepus.americanus","snowshoe hare"
"18","Mammalia","Lagomorpha","Leporidae","Oryctolagus","cuniculus","Oryctolagus.cuniculus","rabbit"
"19","Mammalia","Primates","Hominidae","Homo","sapiens","Homo.sapiens","human"
"20","Mammalia","Rodentia","Sciuridae","Tamiasciurus","hudsonicus","Tamiasciurus.hudsonicus","red squirrel"
"21",NA,NA,NA,"","blank",".blank",NA
"22",NA,NA,NA,"","spp.",".spp.",NA
"23",NA,NA,NA,"Canachites","canadensis","Canachites.canadensis","spruce grouse"
"24",NA,NA,NA,"Unknown","unknown","Unknown.unknown",NA
"25",NA,NA,NA,"Weasel","spp.","Weasel.spp.",NA
