"Project.ID","Deployment.Location.ID","Deployment.ID","Camera.Deployment.Begin.Date","Camera.Deployment.End.Date","Camera.Failure.Details","Treatment"
"Algar","Algar61","D6",2018-11-17,2019-04-04,NA,"Offline"
"Algar","Algar61","D7",2019-04-04,2019-11-19,NA,"Offline"
"Algar","Algar62","D6",2018-11-17,2019-04-04,NA,"Offline"
"Algar","Algar62","D7",2019-04-04,2019-11-21,NA,"Offline"
"Algar","Algar63","D6",2018-11-16,2019-04-04,NA,"Offline"
"Algar","Algar63","D7",2019-04-04,2019-11-21,NA,"Offline"
"Algar","Algar64","D6",2018-11-17,2019-04-04,NA,"Offline"
"Algar","Algar64","D7",2019-04-04,2019-11-21,NA,"Offline"
"Algar","Algar65","D6",2018-11-16,2019-04-03,NA,"Offline"
"Algar","Algar65","D7",2019-04-03,2019-06-28,NA,"Offline"
"Algar","Algar66","D6",2018-11-16,2019-04-03,NA,"Offline"
"Algar","Algar66","D7",2019-04-03,2019-11-19,NA,"Offline"
"Algar","Algar67","D6",2018-11-15,2019-04-03,NA,"Offline"
"Algar","Algar67","D7",2019-04-03,2019-11-20,NA,"Offline"
"Algar","Algar68","D6",2018-11-15,2019-04-03,NA,"Offline"
"Algar","Algar68","D7",2019-04-03,2019-11-20,NA,"Offline"
"Algar","Algar69","D6",2018-11-14,2019-04-02,NA,"Offline"
"Algar","Algar69","D7",2019-04-02,2019-11-19,NA,"Offline"
"Algar","Algar70","D6",2018-11-14,2019-04-02,NA,"Offline"
"Algar","Algar70","D7",2019-04-02,2019-11-19,NA,"Offline"
"Algar","Algar08","D6",2018-11-17,2019-04-04,NA,"HumanUse"
"Algar","Algar08","D7",2019-04-04,2019-11-21,NA,"HumanUse"
"Algar","Algar27","D6",2018-11-15,2019-04-03,NA,"HumanUse"
"Algar","Algar27","D7",2019-04-03,NA,"Stolen","HumanUse"
"Algar","Algar29","D6",2018-11-15,2019-04-02,NA,"HumanUse"
"Algar","Algar29","D7",2019-04-02,2019-11-20,NA,"HumanUse"
"Algar","Algar31","D6",2018-11-16,2019-04-04,NA,"HumanUse"
"Algar","Algar31","D7",2019-04-04,2019-11-21,NA,"HumanUse"
"Algar","Algar32","D6",2018-11-14,2019-04-02,NA,"HumanUse"
"Algar","Algar32","D7",2019-04-02,2019-11-19,NA,"HumanUse"
"Algar","Algar34","D6",2018-11-17,2019-04-04,NA,"HumanUse"
"Algar","Algar34","D7",2019-04-04,2019-11-21,NA,"HumanUse"
"Algar","Algar35","D6",2018-11-15,2019-04-03,NA,"HumanUse"
"Algar","Algar35","D7",2019-04-03,2019-11-22,NA,"HumanUse"
"Algar","Algar37","D6",2018-11-17,2019-04-04,NA,"HumanUse"
"Algar","Algar37","D7",2019-04-04,2019-11-21,NA,"HumanUse"
"Algar","Algar38","D6",2018-11-16,2019-04-04,NA,"HumanUse"
"Algar","Algar38","D7",2019-04-04,2019-11-21,NA,"HumanUse"
"Algar","Algar39","D6",2018-11-16,2019-04-04,NA,"HumanUse"
"Algar","Algar39","D7",2019-04-04,2019-11-19,NA,"HumanUse"
