"Project.ID","Deployment.Location.ID","Species","Date_Time.Captured","Age","Sex","Number.of.Animals","Minimum.Group.Size","Behaviour","Blank"
"Algar","Algar08","Odocoileus virginianus",2018-12-18 20:54:56,"Adult","Male",1,1,"Travelling",FALSE
"Algar","Algar08","Odocoileus virginianus",2018-12-18 20:54:57,"Adult","Male",1,1,"Travelling",FALSE
"Algar","Algar08","Odocoileus virginianus",2018-12-18 20:54:58,"Adult","Male",1,1,"Travelling",FALSE
"Algar","Algar08","Odocoileus virginianus",2018-12-18 20:55:02,"Adult","Male",1,1,"Travelling",FALSE
"Algar","Algar08","Odocoileus virginianus",2018-12-18 20:55:07,"Adult","Male",1,1,"Travelling",FALSE
"Algar","Algar08","Odocoileus virginianus",2018-12-18 20:55:08,"Adult","Male",1,1,"Travelling",FALSE
"Algar","Algar08","Odocoileus virginianus",2018-12-18 20:55:11,"Adult","Male",1,1,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-20 14:37:51,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-20 14:37:52,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-20 14:37:54,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-20 14:37:55,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-20 14:38:29,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-20 14:38:31,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-20 14:38:32,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-20 14:38:34,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-20 14:38:36,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-20 14:38:48,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-21 19:58:59,"Unidentified","",2,2,"",FALSE
"Algar","Algar08","Alces alces",2019-04-21 19:59:00,"Unidentified","",2,2,"",FALSE
"Algar","Algar08","Alces alces",2019-04-21 19:59:02,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-21 19:59:03,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-21 19:59:04,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-21 19:59:08,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-21 19:59:33,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-21 19:59:35,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-21 19:59:54,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-21 19:59:56,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-04-21 19:59:57,"Adult","",1,2,"Travelling",FALSE
"Algar","Algar08","Odocoileus virginianus",2019-05-07 09:43:59,"Adult","",1,1,"Travelling",FALSE
"Algar","Algar08","Odocoileus virginianus",2019-05-07 09:44:01,"Adult","",1,1,"Travelling",FALSE
"Algar","Algar08","Odocoileus virginianus",2019-05-07 09:44:03,"Adult","",1,1,"Travelling",FALSE
"Algar","Algar08","Odocoileus virginianus",2019-05-07 09:44:04,"Adult","",1,1,"Travelling",FALSE
"Algar","Algar08","Rangifer tarandus",2019-05-23 08:31:29,"Unidentified","",1,2,"Travelling",FALSE
"Algar","Algar08","Rangifer tarandus",2019-05-23 08:31:30,"Unidentified","",1,2,"Travelling",FALSE
"Algar","Algar08","Rangifer tarandus",2019-05-23 08:31:32,"Unidentified","",1,2,"Travelling",FALSE
"Algar","Algar08","Rangifer tarandus",2019-05-23 08:31:55,"Adult","Male",1,2,"Inspecting camera",FALSE
"Algar","Algar08","Rangifer tarandus",2019-05-23 08:31:56,"Adult","Male",1,2,"Inspecting camera",FALSE
"Algar","Algar08","Rangifer tarandus",2019-05-23 08:31:57,"Adult","Male",1,2,"Inspecting camera",FALSE
"Algar","Algar08","Rangifer tarandus",2019-05-23 08:31:58,"Adult","Male",1,2,"Inspecting camera",FALSE
"Algar","Algar08","Rangifer tarandus",2019-05-23 08:32:00,"Adult","Male",1,2,"Inspecting camera",FALSE
"Algar","Algar08","Rangifer tarandus",2019-05-23 08:32:03,"Adult","Male",1,2,"Inspecting camera",FALSE
"Algar","Algar08","Alces alces",2019-08-04 05:31:51,"Unidentified","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-04 05:31:52,"Unidentified","",2,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-04 05:31:54,"Unidentified","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-04 05:31:55,"Unidentified","",1,2,"Travelling",FALSE
"Algar","Algar08","Lepus americanus",2019-08-13 02:02:40,"Unidentified","",1,1,"",FALSE
"Algar","Algar08","Alces alces",2019-08-13 09:10:46,"Unidentified","",1,1,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-13 09:10:47,"Unidentified","",1,1,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-13 09:10:49,"Unidentified","",1,1,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-13 09:10:50,"Unidentified","",1,1,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-17 06:50:50,"Unidentified","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-17 06:50:52,"Unidentified","",1,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-17 06:50:53,"Unidentified","",2,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-17 06:50:54,"Unidentified","",2,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-17 06:50:55,"Unidentified","",2,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-17 06:50:57,"Unidentified","",2,2,"Travelling",FALSE
"Algar","Algar08","Alces alces",2019-08-17 06:50:58,"Unidentified","",1,2,"Travelling",FALSE
"Algar","Algar08","Canis lupus",2019-11-17 18:00:39,"Adult","",1,1,"Travelling",FALSE
"Algar","Algar27","Odocoileus virginianus",2018-11-16 05:01:45,"Adult","Male",1,1,"Travelling",FALSE
"Algar","Algar27","Odocoileus virginianus",2018-11-16 05:01:46,"Adult","Male",1,1,"Travelling",FALSE
"Algar","Algar27","Odocoileus virginianus",2018-11-16 05:01:47,"Adult","Male",1,1,"Travelling",FALSE
"Algar","Algar27","Cervus canadensis",2018-11-18 17:43:55,"Adult","Male",1,1,"Travelling",FALSE
"Algar","Algar27","Cervus canadensis",2018-11-18 17:43:56,"Adult","Male",1,1,"Travelling",FALSE
