"Deployment.Location.ID","Longitude","Latitude","Treatment","LOW500","LOS"
"Algar08",-112.4152345,56.24258651,"HumanUse",0.399180970231477,112.75
"Algar27",-112.4735026,56.33279633,"HumanUse",0.834527743903918,252.958333333333
"Algar29",-112.548348,56.3947384,"HumanUse",0.654255804646727,206.527777777778
"Algar31",-112.4819778,56.30899115,"HumanUse",0.618039341142218,334.277777777778
"Algar32",-112.3967723,56.40196543,"HumanUse",0.567814181244333,83
"Algar34",-112.4011552,56.22248414,"HumanUse",0.54927621713557,337.791666666667
"Algar35",-112.4760892,56.38427981,"HumanUse",0.689825496508569,439.611111111111
"Algar37",-112.4449259,56.27897671,"HumanUse",0.959497479546332,392.611111111111
"Algar38",-112.4791766,56.27038626,"HumanUse",0.953425230759139,352.75
"Algar39",-112.4094357,56.30127467,"HumanUse",0.980430230764895,339.763888888889
"Algar61",-112.4415123,56.15983008,"Offline",0.343968220067923,11.1666666666667
"Algar62",-112.4104105,56.20002261,"Offline",0.814491970450784,16
"Algar63",-112.4785381,56.2308028,"Offline",0.803160625793792,28.9444444444444
"Algar64",-112.3965139,56.27622558,"Offline",0.698193601189405,34.2777777777778
"Algar65",-112.3847975,56.35152984,"Offline",0.522035623536912,20.1111111111111
"Algar66",-112.3950852,56.3239189,"Offline",0.836734442950111,36.9444444444444
"Algar67",-112.5517103,56.35670497,"Offline",0.366586592599248,188.833333333333
"Algar68",-112.4737099,56.36418948,"Offline",0.991334365774181,72.2777777777778
"Algar69",-112.5074726,56.49351647,"Offline",0.499945617320215,22.8555555555556
"Algar70",-112.5314177,56.45203396,"Offline",0.905572633462611,28.6111111111111
