placename,line_of_sight_m
ALG001,137.125
ALG002,131.5277778
ALG003,353.6583333
ALG004,158.0416667
ALG005,305.8194444
ALG006,60.125
ALG007,310.5833333
ALG008,112.75
ALG009,299.0277778
ALG010,102.3055556
ALG011,223.5694444
ALG012,140.9166667
ALG013,394.5694444
ALG014,196.875
ALG015,163.1111111
ALG016,116.1111111
ALG017,138.1944444
ALG018,304.2916667
ALG019,330.9722222
ALG020,204.4027778
ALG021,264.9444444
ALG022,229.1388889
ALG023,218.2916667
ALG024,425.4305556
ALG025,56.97222222
ALG026,200.0555556
ALG027,252.9583333
ALG028,277.5
ALG029,206.5277778
ALG030,43.38888889
ALG031,334.2777778
ALG032,83
ALG033,165
ALG034,337.7916667
ALG035,439.6111111
ALG036,62.69444444
ALG037,392.6111111
ALG038,352.75
ALG039,339.7638889
ALG040,182.75
ALG041,109.25
ALG042,219.5694444
ALG043,62.41666667
ALG044,374.2638889
ALG045,294.8333333
ALG046,34.5
ALG047,363.8055556
ALG048,392.9305556
ALG049,80.77777778
ALG050,139.3611111
ALG051,208.125
ALG052,13.95833333
ALG053,99.30555556
ALG054,35.47222222
ALG055,189.0694444
ALG056,55.41666667
ALG057,93.04166667
ALG058,80.91666667
ALG059,41
ALG060,189.9027778
ALG061,11.16666667
ALG062,16
ALG063,28.94444444
ALG064,34.27777778
ALG065,20.11111111
ALG066,36.94444444
ALG067,188.8333333
ALG068,72.27777778
ALG069,22.85555556
ALG070,28.61111111
ALG071,20.05555556
ALG072,52.44444444
ALG073,55.94444444
