"project_id","camera_id","camera_name","make","model","serial_number","year_purchased"
"AlgarRestorationProject","0001","C0001",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0002","C0002",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0003","C0003",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0004","C0004",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0005","C0005",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0006","C0006",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0007","C0007",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0008","C0008",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0009","C0009",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0010","C0010",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0011","C0011",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0012","C0012",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0013","C0013",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0014","C0014",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0015","C0015",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0016","C0016",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0017","C0017",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0018","C0018",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0019","C0019",NA,"Reconyx Hyperfire 2",NA,NA
"AlgarRestorationProject","0020","C0020",NA,"Reconyx Hyperfire 2",NA,NA
