common_name,sp
sharp-tailed grouse,Tympanuchus.phasianellus
sandhill crane,Grus.canadensis
common raven,Corvus.corax
canada jay,Perisoreus.canadensis
great grey owl,Strix.nebulosa
moose,Alces.alces
elk,Cervus.canadensis
white-tailed deer,Odocoileus.virginianus
caribou,Rangifer.tarandus
coyote,Canis.latrans
gray wolf,Canis.lupus
red fox,Vulpes.vulpes
canada lynx,Lynx.canadensis
river otter,Lontra.canadensis
american marten,Martes.americana
black bear,Ursus.americanus
snowshoe hare,Lepus.americanus
rabbit,Oryctolagus.cuniculus
human,Homo.sapiens
red squirrel,Tamiasciurus.hudsonicus
NA,blank
NA,spp.
spruce grouse,Canachites.canadensis
NA,Unknown.unknown
NA,Weasel.spp.
