"project_id","deployment_id","placename","longitude","latitude","start_date","end_date","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","camera_name","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","plot_treatment","plot_treatment_description","detection_distance","subproject_name","subproject_design","event_name","event_description","event_type","recorded_by"
"AlgarRestorationProject","ALG027_2018-04-11","ALG027",-112.4735026,56.33279633,2018-04-11,"2018-11-15","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG027_2018-11-15","ALG027",-112.4735026,56.33279633,2018-11-15,"2019-04-03","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG027_2019-04-03","ALG027",-112.4735026,56.33279633,2019-04-03,NA,"None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG029_2018-04-07","ALG029",-112.548348,56.3947384,2018-04-07,"2018-11-15","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG029_2018-11-15","ALG029",-112.548348,56.3947384,2018-11-15,"2019-04-02","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG029_2019-04-02","ALG029",-112.548348,56.3947384,2019-04-02,"2019-11-20","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG031_2018-04-08","ALG031",-112.4819778,56.30899115,2018-04-08,"2018-11-16","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG031_2018-11-16","ALG031",-112.4819778,56.30899115,2018-11-16,"2019-04-04","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG031_2019-04-04","ALG031",-112.4819778,56.30899115,2019-04-04,"2019-11-21","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG032_2018-04-07","ALG032",-112.3967723,56.40196543,2018-04-07,"2018-11-14","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG032_2018-11-14","ALG032",-112.3967723,56.40196543,2018-11-14,"2019-04-02","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG032_2019-04-02","ALG032",-112.3967723,56.40196543,2019-04-02,"2019-11-19","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG035_2018-04-08","ALG035",-112.4760892,56.38427981,2018-04-08,"2018-11-15","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG035_2018-11-15","ALG035",-112.4760892,56.38427981,2018-11-15,"2019-04-03","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG035_2019-04-03","ALG035",-112.4760892,56.38427981,2019-04-03,"2019-11-22","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG036_2018-04-09","ALG036",-112.4057856,56.23177668,2018-04-09,"2018-05-25","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG036_2018-11-17","ALG036",-112.4057856,56.23177668,2018-11-17,"2019-04-04","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG036_2019-04-04","ALG036",-112.4057856,56.23177668,2019-04-04,"2020-11-21","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG037_2018-04-09","ALG037",-112.4449259,56.27897671,2018-04-09,"2018-11-17","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG037_2018-11-17","ALG037",-112.4449259,56.27897671,2018-11-17,"2019-04-04","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG037_2019-04-04","ALG037",-112.4449259,56.27897671,2019-04-04,"2019-11-21","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG038_2018-04-08","ALG038",-112.4791766,56.27038626,2018-04-08,"2018-11-16","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG038_2018-11-16","ALG038",-112.4791766,56.27038626,2018-11-16,"2019-04-04","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG038_2019-04-04","ALG038",-112.4791766,56.27038626,2019-04-04,"2019-11-21","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG039_2018-04-08","ALG039",-112.4094357,56.30127467,2018-04-08,"2018-11-16","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG039_2018-11-16","ALG039",-112.4094357,56.30127467,2018-11-16,"2019-04-04","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG039_2019-04-04","ALG039",-112.4094357,56.30127467,2019-04-04,"2019-11-19","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG043_2018-04-07","ALG043",-112.5842114,56.38715078,2018-04-07,"2018-04-27","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG043_2018-11-15","ALG043",-112.5842114,56.38715078,2018-11-15,"2019-04-02","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG043_2019-04-02","ALG043",-112.5842114,56.38715078,2019-04-02,"2019-11-20","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG044_2018-04-07","ALG044",-112.6046929,56.47314996,2018-04-07,"2018-04-27","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG044_2018-11-14","ALG044",-112.6046929,56.47314996,2018-11-14,"2019-04-02","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG044_2019-04-02","ALG044",-112.6046929,56.47314996,2019-04-02,"2019-11-19","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG045_2018-04-07","ALG045",-112.5018971,56.43667907,2018-04-07,"2018-05-23","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG045_2018-11-14","ALG045",-112.5018971,56.43667907,2018-11-14,"2019-04-02","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG045_2019-04-02","ALG045",-112.5018971,56.43667907,2019-04-02,"2019-11-19","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG046_2018-04-08","ALG046",-112.5607123,56.33379516,2018-04-08,"2018-11-15","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG046_2018-11-15","ALG046",-112.5607123,56.33379516,2018-11-15,"2019-04-03","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG046_2019-04-03","ALG046",-112.5607123,56.33379516,2019-04-03,"2019-11-20","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG047_2018-04-08","ALG047",-112.4563346,56.21704844,2018-04-08,"2018-11-16","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG047_2018-11-16","ALG047",-112.4563346,56.21704844,2018-11-16,"2019-04-04","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG047_2019-04-04","ALG047",-112.4563346,56.21704844,2019-04-04,"2019-08-27","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG048_2018-04-08","ALG048",-112.4553341,56.23532818,2018-04-08,"2018-11-16","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG048_2018-11-16","ALG048",-112.4553341,56.23532818,2018-11-16,"2019-04-04","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG048_2019-04-04","ALG048",-112.4553341,56.23532818,2019-04-04,"2019-11-21","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG049_2018-04-08","ALG049",-112.5483653,56.37320857,2018-04-08,"2018-04-23","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG049_2018-11-15","ALG049",-112.5483653,56.37320857,2018-11-15,"2019-04-02","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG049_2019-04-02","ALG049",-112.5483653,56.37320857,2019-04-02,"2019-10-05","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG052_2018-04-11","ALG052",-112.4453138,56.34019101,2018-04-11,"2018-11-15","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG052_2018-11-15","ALG052",-112.4453138,56.34019101,2018-11-15,"2019-04-03","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG052_2019-04-03","ALG052",-112.4453138,56.34019101,2019-04-03,"2019-11-21","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG053_2018-04-07","ALG053",-112.5515799,56.45544966,2018-04-07,"2018-11-14","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG053_2018-11-14","ALG053",-112.5515799,56.45544966,2018-11-14,"2019-04-03","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG053_2019-04-03","ALG053",-112.5515799,56.45544966,2019-04-03,"2019-11-19","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG054_2018-04-07","ALG054",-112.6467312,56.421884,2018-04-07,"2018-11-15","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG054_2018-11-15","ALG054",-112.6467312,56.421884,2018-11-15,"2019-04-02","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG054_2019-04-02","ALG054",-112.6467312,56.421884,2019-04-02,"2019-11-22","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG055_2018-04-08","ALG055",-112.5868312,56.35276482,2018-04-08,"2018-11-15","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG055_2018-11-15","ALG055",-112.5868312,56.35276482,2018-11-15,"2019-04-03","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG055_2019-04-03","ALG055",-112.5868312,56.35276482,2019-04-03,"2019-11-20","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG056_2018-04-07","ALG056",-112.605999,56.42602126,2018-04-07,"2018-11-14","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG056_2018-11-14","ALG056",-112.605999,56.42602126,2018-11-14,"2019-04-02","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG056_2019-04-02","ALG056",-112.605999,56.42602126,2019-04-02,"2019-11-22","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG057_2018-04-09","ALG057",-112.4266152,56.16541237,2018-04-09,"2018-05-15","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG057_2018-11-17","ALG057",-112.4266152,56.16541237,2018-11-17,"2019-04-04","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG057_2019-04-04","ALG057",-112.4266152,56.16541237,2019-04-04,"2019-11-19","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG058_2018-04-07","ALG058",-112.6308865,56.41724102,2018-04-07,"2018-11-14","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG058_2018-11-14","ALG058",-112.6308865,56.41724102,2018-11-14,"2019-04-02","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG058_2019-04-02","ALG058",-112.6308865,56.41724102,2019-04-02,"2019-11-22","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG059_2018-04-08","ALG059",-112.4953724,56.36631122,2018-04-08,"2018-07-10","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG059_2018-11-15","ALG059",-112.4953724,56.36631122,2018-11-15,"2019-04-03","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG059_2019-04-03","ALG059",-112.4953724,56.36631122,2019-04-03,"2019-11-20","None","","NatRegen","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG060_2018-04-08","ALG060",-112.5180163,56.35477698,2018-04-08,"2018-11-15","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG060_2018-11-15","ALG060",-112.5180163,56.35477698,2018-11-15,"2019-04-03","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG060_2019-04-03","ALG060",-112.5180163,56.35477698,2019-04-03,"2019-11-20","None","","HumanUse","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG061_2018-04-09","ALG061",-112.4415123,56.15983008,2018-04-09,"2018-11-17","None","","Offline","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG061_2018-11-17","ALG061",-112.4415123,56.15983008,2018-11-17,"2019-04-04","None","","Offline","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG061_2019-04-04","ALG061",-112.4415123,56.15983008,2019-04-04,"2019-11-19","None","","Offline","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG062_2018-04-09","ALG062",-112.4104105,56.20002261,2018-04-09,"2018-11-17","None","","Offline","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG062_2018-11-17","ALG062",-112.4104105,56.20002261,2018-11-17,"2019-04-04","None","","Offline","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG062_2019-04-04","ALG062",-112.4104105,56.20002261,2019-04-04,"2019-11-21","None","","Offline","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG063_2018-04-08","ALG063",-112.4785381,56.2308028,2018-04-08,"2018-11-16","None","","Offline","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG063_2018-11-16","ALG063",-112.4785381,56.2308028,2018-11-16,"2019-04-04","None","","Offline","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG063_2019-04-04","ALG063",-112.4785381,56.2308028,2019-04-04,"2019-11-21","None","","Offline","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG064_2018-04-09","ALG064",-112.3965139,56.27622558,2018-04-09,"2018-11-17","None","","Offline","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG064_2018-11-17","ALG064",-112.3965139,56.27622558,2018-11-17,"2019-04-04","None","","Offline","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
"AlgarRestorationProject","ALG064_2019-04-04","ALG064",-112.3965139,56.27622558,2019-04-04,"2019-11-21","None","","Offline","","","",1,"Camera Functioning",100,"","","","","","","Restoration","","","","",""
