"project_id","deployment_id","image_id","filename","location","is_blank","identified_by","wi_taxon_id","class","order","family","genus","species","common_name","uncertainty","timestamp","number_of_objects","age","sex","animal_recognizable","individual_id","individual_animal_notes","behavior","highlighted","markings","cv_confidence","license","placename","group_size","temperature"
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-04-13__13-51-01.JPG","Algar27__2018-04-13__13-51-01.JPG","",0,"ERT","","Mammalia","Carnivora","Felidae","Lynx","canadensis","","",2018-04-13 13:51:01,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-04-13__13-51-02.JPG","Algar27__2018-04-13__13-51-02.JPG","",0,"ERT","","Mammalia","Carnivora","Felidae","Lynx","canadensis","","",2018-04-13 13:51:02,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-04-13__13-51-03.JPG","Algar27__2018-04-13__13-51-03.JPG","",0,"ERT","","Mammalia","Carnivora","Felidae","Lynx","canadensis","","",2018-04-13 13:51:03,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-04-13__13-51-06.JPG","Algar27__2018-04-13__13-51-06.JPG","",0,"ERT","","Mammalia","Carnivora","Felidae","Lynx","canadensis","","",2018-04-13 13:51:06,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-04-13__13-51-07.JPG","Algar27__2018-04-13__13-51-07.JPG","",0,"ERT","","Mammalia","Carnivora","Felidae","Lynx","canadensis","","",2018-04-13 13:51:07,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-04-13__13-51-09.JPG","Algar27__2018-04-13__13-51-09.JPG","",0,"ERT","","Mammalia","Carnivora","Felidae","Lynx","canadensis","","",2018-04-13 13:51:09,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-04-17__03-59-31.JPG","Algar27__2018-04-17__03-59-31.JPG","",0,"ERT","","Mammalia","Carnivora","Canidae","Canis","lupus","","",2018-04-17 03:59:31,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-04-21__07-58-04.JPG","Algar27__2018-04-21__07-58-04.JPG","",1,"ERT","",NA,NA,NA,"","blank","","",2018-04-21 07:58:04,0,"Unidentified","","","","","","","","","","ALG027",0,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-04-21__09-45-03.JPG","Algar27__2018-04-21__09-45-03.JPG","",0,"ERT","","Mammalia","Carnivora","Felidae","Lynx","canadensis","","",2018-04-21 09:45:03,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-04-21__09-45-29.JPG","Algar27__2018-04-21__09-45-29.JPG","",0,"ERT","","Mammalia","Carnivora","Felidae","Lynx","canadensis","","",2018-04-21 09:45:29,1,"Adult","","","","","","","","","","ALG027",1,NA
