"project_id","camera_id","camera_name","make","model","serial_number","year_purchased"
2003269,2018265,"C399",NA,"Browning Strike Force BTC-5HDX",NA,NA
2003269,2018273,"C398",NA,"Browning Strike Force BTC-5HDX",NA,NA
2003269,2018871,"C285",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018872,"C284",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018873,"C283",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018891,"C388",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018894,"C385",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018897,"C381",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018910,"C368",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018913,"C365",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018928,"C350",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018939,"C339",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018962,"C316",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018975,"C303",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018985,"C293",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019094,"C200",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019095,"C199",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019096,"C198",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019097,"C196",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019098,"C197",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019099,"C195",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019100,"C194",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019101,"C193",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019102,"C192",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019103,"C191",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019104,"C190",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019105,"C001",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019106,"C002",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019107,"C189",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019108,"C188",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019109,"C187",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019110,"C186",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019111,"C003",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019112,"C004",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019113,"C005",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019114,"C006",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019115,"C007",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019116,"C008",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019117,"C009",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019118,"C010",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019119,"C011",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019120,"C012",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019121,"C013",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019122,"C014",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019123,"C015",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019124,"C016",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019125,"C017",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019126,"C018",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019127,"C019",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019128,"C020",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019129,"C021",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019130,"C022",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019131,"C023",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019132,"C024",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019133,"C025",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019134,"C026",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019135,"C027",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019136,"C028",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019137,"C029",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019138,"C030",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019139,"C031",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019140,"C032",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019141,"C033",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019142,"C034",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019143,"C035",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019144,"C036",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019145,"C037",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019146,"C038",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019147,"C039",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019148,"C040",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019149,"C041",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019150,"C042",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019151,"C043",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019152,"C044",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019154,"C046",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019155,"C047",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019156,"C048",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019157,"C049",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019158,"C050",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019159,"C051",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019160,"C052",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019161,"C053",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019162,"C054",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019163,"C055",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019164,"C056",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019165,"C057",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019166,"C058",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019167,"C059",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019168,"C060",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019169,"C061",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019170,"C062",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019171,"C063",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019172,"C064",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019173,"C065",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019174,"C066",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019175,"C067",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019176,"C068",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019177,"C069",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019178,"C070",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019179,"C071",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019180,"C072",NA,"Browning Strike Force BTC-5HDXv",NA,NA
