"project_id","camera_id","camera_name","make","model","serial_number","year_purchased"
2003269,2019105,"C001","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046158,"C214a","","",NA,NA
2003269,2038893,"C405","Browning ","Strike Force BTC-6HDX",NA,NA
2003269,2019196,"C088","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046193,"C288b","","",NA,NA
2003269,2038892,"C404","Browning ","Strike Force BTC-6HDX",NA,NA
2003269,2046245,"C401b","","",NA,NA
2003269,2018931,"C347","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018913,"C365","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019283,"C175","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019033,"C222","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2045728,"C111b","","",NA,NA
2003269,2045929,"C106b","","",NA,NA
2003269,2018953,"C325","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019110,"C186","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2044837,"C192a","","",NA,NA
2003269,2044700,"C175a","","",NA,NA
2003269,2018982,"C296","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2041002,"C115a","","",NA,NA
2003269,2018996,"C259","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018897,"C381","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046374,"C171a","","",NA,NA
2003269,2018874,"C282","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019228,"C120","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019124,"C016","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2043813,"C315a","","",NA,NA
2003269,2019218,"C110","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046352,"C347b","","",NA,NA
2003269,2045939,"C112b","","",NA,NA
2003269,2046192,"C282b","","",NA,NA
2003269,2042487,"C302a","","",NA,NA
2003269,2019093,"C201","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019018,"C237","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046208,"C027a","","",NA,NA
2003269,2045937,"C393b","","",NA,NA
2003269,2019250,"C142","","Browning Strike Force BTC-5HDXv",NA,NA
